Category,Rank,Title,Price,Rating,Number of Reviews
Books,#1,Sacred Waters,₹358.00,4.7 out of 5 stars,58
Books,#2,Educart PRAYAS CBSE Class 10 for 2026 (Introducing revolutionary marks increment concept - NCERT CHITS) (class 10 mock paper 2026),₹697.00,4.4 out of 5 stars,"1,221"
Books,#3,"My First Library: Boxset of 10 Board Books for Kids (Pack 1) | Includes ABC, Numbers, Shapes, Colors, Wild Animals, Farm Animals & Pets, Birds, Fruits, Vegetables & Transport | Early Learning Board Books for Babies, Toddlers & Preschoolers | Ages 0-3 Years",₹379.00,4.5 out of 5 stars,"87,739"
Books,#4,"Oswaal CBSE 20 Combined Sample Question Papers class 10 (English Lang & Lit, Maths Standard, Science & Social Science) for 2026 Board Exam (As per CBSE Sample Question Paper issued on 30 July 2025)",₹399.00,4.6 out of 5 stars,55
Books,#5,The Psychology of Money,₹285.00,4.6 out of 5 stars,"77,869"
Books,#6,"Oswaal CBSE 15 Sample Question Papers Class 10 Science for 2026 Board Exam (As per CBSE Sample Question Paper issued on 30 July 2025), recommended by 2025 CBSE Toppers with Chapter wise Highly Probable Questions, includes 5 Most Likely SQPs & all types of CBQs",₹355.00,4.4 out of 5 stars,673
Books,#7,Atomic Habits: The life-changing million copy bestseller,₹526.00,4.6 out of 5 stars,"108,248"
Books,#8,"White Nights – Fyodor Dostoyevsky | A Million-Copy Bestseller | A Timeless Story of Love, Longing & Solitude – Penguin Classics",₹112.00,4.6 out of 5 stars,Fyodor Dostoyevsky
Books,#9,"Indian Polity Courseware (English), 8e by M Laxmikanth for UPSC CSE 2025-26 | 40+ Conceptual Videos | 95 Well-structured Chapters | 18 Insightful ... UPSC Main Exam Questions | Practice Questions",₹748.00,4.6 out of 5 stars,636
Books,#10,Dopamine Detox: A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,₹182.00,4.4 out of 5 stars,"16,895"
Books,#11,"Oswaal CBSE 15 Sample Question Papers Class 10 Mathematics Standard for 2026 Board Exam (As per CBSE Sample Question Paper issued on 30 July 2025), recommended by 2025 CBSE Toppers",₹360.00,4.4 out of 5 stars,701
Books,#12,"Ikigai: The Japanese Secret to a Long and Happy Life | A Global Self-Help Phenomenon that Guides You Towards a Joyful, Balanced, and Meaningful Life",₹363.00,4.6 out of 5 stars,"60,793"
Books,#13,"Courage To Be Disliked, The: How to free yourself, change your life and achieve real happiness",₹338.00,4.6 out of 5 stars,Ichiro Kishimi and Fumitake Koga
Books,#14,The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery (English),₹262.00,4.4 out of 5 stars,"25,283"
Books,#15,"Parmar SSC Fatman | GK/GS Theory Book | English Medium | 1st Edition, 2025 | Useful For SSC CGL and CHSL (Tier 1 & 2) | CPO | MTS | Steno | Selection Post | JE | GD | Defence | Railway | PCS | State Police & All Other One Day Competitive Examination",₹439.00,4.4 out of 5 stars,922
Books,#16,Deewar Mein Ek Khidki Rahti Thi । दीवार में एक खिड़की रहती थी [ साहित्य अकादमी पुरस्कार से पुरस्कृत उपन्यास ],₹190.00,4.4 out of 5 stars,"1,835"
Books,#17,"PW Kids First Library Box Set of 10 Board Books l Gift Set for Children Ages 1, 2, 3, 4, 5 Years",₹369.00,4.5 out of 5 stars,785
