Category,Rank,Title,Price,Rating,Number of Reviews
Books,1,Sacred Waters,358.0,4.7,58.0
Books,2,Educart PRAYAS CBSE Class 10 for 2026 (Introducing revolutionary marks increment concept - NCERT CHITS) (class 10 mock paper 2026),697.0,4.4,1221.0
Books,3,"My First Library: Boxset of 10 Board Books for Kids (Pack 1) | Includes ABC, Numbers, Shapes, Colors, Wild Animals, Farm Animals & Pets, Birds, Fruits, Vegetables & Transport | Early Learning Board Books for Babies, Toddlers & Preschoolers | Ages 0-3 Years",379.0,4.0,87739.0
Books,4,"Oswaal CBSE 20 Combined Sample Question Papers class 10 (English Lang & Lit, Maths Standard, Science & Social Science) for 2026 Board Exam (As per CBSE Sample Question Paper issued on 30 July 2025)",399.0,4.6,55.0
Books,5,The Psychology of Money,285.0,4.6,77869.0
Books,6,"Oswaal CBSE 15 Sample Question Papers Class 10 Science for 2026 Board Exam (As per CBSE Sample Question Paper issued on 30 July 2025), recommended by 2025 CBSE Toppers with Chapter wise Highly Probable Questions, includes 5 Most Likely SQPs & all types of CBQs",355.0,4.4,673.0
Books,7,Atomic Habits: The life-changing million copy bestseller,526.0,4.6,108248.0
Books,8,"White Nights – Fyodor Dostoyevsky | A Million-Copy Bestseller | A Timeless Story of Love, Longing & Solitude – Penguin Classics",112.0,4.6,
Books,9,"Indian Polity Courseware (English), 8e by M Laxmikanth for UPSC CSE 2025-26 | 40+ Conceptual Videos | 95 Well-structured Chapters | 18 Insightful ... UPSC Main Exam Questions | Practice Questions",748.0,4.6,636.0
Books,10,Dopamine Detox: A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,182.0,4.4,16895.0
Books,11,"Oswaal CBSE 15 Sample Question Papers Class 10 Mathematics Standard for 2026 Board Exam (As per CBSE Sample Question Paper issued on 30 July 2025), recommended by 2025 CBSE Toppers",360.0,4.4,701.0
Books,12,"Ikigai: The Japanese Secret to a Long and Happy Life | A Global Self-Help Phenomenon that Guides You Towards a Joyful, Balanced, and Meaningful Life",363.0,4.6,60793.0
Books,13,"Courage To Be Disliked, The: How to free yourself, change your life and achieve real happiness",338.0,4.6,
Books,14,The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery (English),262.0,4.4,25283.0
Books,15,"Parmar SSC Fatman | GK/GS Theory Book | English Medium | 1st Edition, 2025 | Useful For SSC CGL and CHSL (Tier 1 & 2) | CPO | MTS | Steno | Selection Post | JE | GD | Defence | Railway | PCS | State Police & All Other One Day Competitive Examination",439.0,4.4,922.0
Books,16,Deewar Mein Ek Khidki Rahti Thi । दीवार में एक खिड़की रहती थी [ साहित्य अकादमी पुरस्कार से पुरस्कृत उपन्यास ],190.0,4.4,1835.0
Books,17,"PW Kids First Library Box Set of 10 Board Books l Gift Set for Children Ages 1, 2, 3, 4, 5 Years",369.0,4.0,785.0
Books,18,"PW NTA 15 NEET Rankers Test Series 2026 | Expert Verified & Curated | 15 NEET-Like Test Booklets, 15 OMR Sheets, Solution Booklet, Rank Predictor & Statewise Cutoff Guide | Neet Test Series 2026",699.0,4.4,374.0
Books,19,"Lucent's General Knowledge 2025 | 15th Revised Edition | English Medium | For UPSC, SSC, NDA, CDS, Banking, Railways, Defence & All Competitive Exams",215.0,4.3,324.0
Books,20,Was I Ever Enough?,248.0,4.6,329.0
Books,21,I Cannot Say Goodbye to You: An unforgettable romance novel by one of India’s most popular writers - Rithvik Singh,273.0,0.0,28.0
Books,22,My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing) |Best Selling Tracing Book for Kids in India | Early Learning | Tracing Lines & Pattern Writing Activities | Premium Quality Return Gift | Ages 2 - 5 Years | 1.5 hours of fun time,125.0,4.4,32078.0
Books,23,"Oswaal CBSE 15 Sample Question Papers Class 10 Social Science for 2026 Board Exam (As per CBSE Sample Question Paper issued on 30 July 2025), recommended by 2025 CBSE Toppers with Chapter wise Highly Probable Questions, includes 5 Most Likely SQPs & all types of CBQs",361.0,4.4,467.0
Books,24,The Power of Your Subconscious Mind: Original Classic Edition | Premium Paperback,147.0,4.4,80545.0
Books,25,Ayodhya Cherina Krishna - Telugu Novel,249.0,4.7,172.0
Books,26,Don't Believe Everything You Think (English),171.12,4.0,14905.0
Books,27,"Oswaal CBSE 15 Sample Question Papers Class 10 English, Science, Social Science & Maths Standard (Set of 4 Books) for 2026 Board Exam (As per CBSE Sample Question Paper issued on 30 July 2025)",,4.0,531.0
Books,28,"You Can Have It All: Unlock the Secrets to a Great Life by Gaur Gopal Das | A Monk’s Guide to Balance, Purpose, Happiness and Inner Peace",293.0,4.0,28.0
Books,29,"Mother Mary Comes to Me: From the Booker Prize-Winning Author, Arundhati Roy",550.0,4.7,2045.0
Books,30,"1 O’Clock Class 10 (Science + Social Science) Combo | Flowcharts, Tables, Premium Art Paper | Audiobooks on App + 3D Interactive Diagrams via QR | NCERT-CBSE Aligned",499.0,4.7,121.0
Electronics,1,"Redmi A4 5G (Sparkle Purple, 4GB RAM, 64GB Storage) | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging | Charger in The Box",,4.0,10837.0
Electronics,2,"OnePlus Nord Buds 3r TWS Earbuds up to 54 Hours Playback, 2-mic Clear Calls, 3D Spatial Audio, AI Translation, 12.4mm Drivers, Dual-Device Connectivity, 47ms Low Latency - Ash Black",,4.2,37141.0
Electronics,3,"OnePlus Bullets Wireless Z3 in-Ear Neckband with 12.4mm Drivers, 3D Spatial Audio,10 mins Charge for 27 hrs Playback, 4 EQ preset, Dynamic bass Enhancement & BT5.4",,4.1,219831.0
Electronics,4,"Ambrane Unbreakable 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets & other Type C devices, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",149.0,4.0,85430.0
Electronics,5,"Fire-Boltt Aero TWS Ear Buds Custom EQ, Wireless Bluetooth 5.4, 50H Playtime, 50ms Low Latency, Fast Charging Case, App Support, Touch Controls, IPX4 Waterproof, Gaming & Music",699.0,4.1,7514.0
Electronics,6,"Samsung Original 25W USB Type-C Travel Adaptor Without Cable for Google Pixel, Xiaomi, Motorola, iPhone, Samsung Galaxy Tab S/A Series, Galaxy S10/M54/M55/A80/A90/S25/S24, White",925.0,4.4,49962.0
Electronics,7,"boAt 2025 Launch Rockerz 113, 40H Battery, Dual Pair, Fast Charge, ENx Tech, Stream Ad Free Music via App Support, Magnetic Buds, Bluetooth Neckband, Wireless with Mic in Ear Earphones (Active Black)",799.0,4.0,5780.0
Electronics,8,"OnePlus Nord Buds 3 Pro Truly Wireless Bluetooth Earbuds with Upto 49dB Active Noise Cancellation,12.4mm Dynamic Drivers,10mins for 11Hrs Fast Charging with Upto 44Hrs Music Playback [Starry Black]",,4.2,15068.0
Electronics,9,"iQOO Z10x 5G (Ultramarine, 6GB RAM, 128GB Storage) | 6500 mAh Large Capacity Battery | Dimensity 7300 Processor | Military-Grade Durability",,4.4,9025.0
Electronics,10,Boat BassHeads 100 in-Ear Headphones with Mic (Black),349.0,4.1,430136.0
Electronics,11,"YATWIN Silicone Back Case for iPhone 12/12 Pro, Soft-Touch Phone Back Cover for Apple iPhone 12/12 Pro - Black",299.0,4.0,7082.0
Electronics,12,"boAt Rockerz 255 Pro+, 60HRS Battery, Fast Charge, IPX7, Dual Pairing, Low Latency, Magnetic Earbuds, in Ear Bluetooth Neckband, Wireless with Mic Earphones (Active Black)",,3.9,246090.0
Electronics,13,"Samsung Galaxy A55 5G (Awesome Iceblue, 8GB RAM, 256GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR Video| Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED Display",,4.3,4791.0
Electronics,14,"Ambrane Magsafe Wireless 10000Mah Fast Charging USB Type-C Input Power Bank, Strong Magnet, 22.5W Output For iPhone 12 & Above, Android & Other Qi Enabled Devices + Magnetic Ring (Aerosync Snap, Blue)",,3.9,5819.0
Electronics,15,"Kratos K9 Selfie Stick Tripod With Light, 67 inch /170CM Reinforced Tripod for Mobile Phone, Multi-Functional Bluetooth Long Selfie Stick for Travel,Vlogging,Compatible with iPhone and All Smartphones",596.0,4.2,2535.0
Electronics,16,"POCO M7 5G, Ocean Blue (6GB, 128GB)",,4.2,2421.0
Electronics,17,"Portronics Conch Theta C in Ear Type C Wired Earphones with in Line HD Mic, Powerful Audio, 14.2mm Driver, Unique Earbuds Design, TPE Anti Tangle Wire, in line Controls, Wide Compatibility(White)",279.0,4.0,5655.0
Electronics,18,"iQOO Z10 Lite 5G (Cyber Green, 6GB RAM, 128GB Storage) | 6000 mAh Battery | Dimensity 6300 5G Processor with 433K+* AnTuTu Score | IP64 Rated & Military Grade Shock-Resistance*",,4.1,5013.0
Electronics,19,"boAt BassHeads 225 in-Ear Super Extra Bass Wired Headphones, with Mic (Black)",399.0,4.0,116646.0
Electronics,20,"Noise Buds N1 Truly Wireless Earbuds with Chrome Finish, 40H of Playtime, Quad Mic with ENC, Ultra Low Latency Gaming (Up to 40 Ms), Instacharge(10 Min=120 Min), Bluetooth V5.3(Carbon Black)",799.0,3.8,13429.0
Electronics,21,"Noise Twist Round dial Smart Watch with Bluetooth Calling, 1.38"" TFT Display, up-to 7 Days Battery, 100+ Watch Faces, IP68, Heart Rate Monitor, Sleep Tracking (Jet Black)",,4.0,50236.0
